speedX,speedY,speedZ,angle,trackPos,rpm,gear,steer_input,accel_input,brake_input
0.0101527,0.046419,-0.000360825,0.00891751,0.333818,1033.55,1,0.0,0.0,0.0
0.00188778,0.0473583,-0.000531975,0.00893896,0.333851,1049.03,1,0.0,0.0,0.0
-0.00181493,0.0477997,-0.000628025,0.00879448,0.333886,942.478,1,0.0,0.0,0.0
-0.00222445,0.049719,-0.000681372,0.00881165,0.333921,942.478,1,0.0,0.0,0.0
-0.00400846,0.0496855,-0.000634745,0.0086891,0.333958,942.478,1,0.0,0.0,0.0
-0.00859504,0.0516039,-0.000641213,0.00872153,0.333997,942.478,1,0.0,0.0,0.0
-0.0555097,0.0549742,-0.000620039,0.00862568,0.33404,942.478,1,0.0,0.0,0.0
0.0289019,0.0556906,-0.00066318,0.00861996,0.33408,942.478,1,0.0,0.0,0.0
-0.053546,0.0408511,-0.000607211,0.00861233,0.33412,942.478,1,0.0,0.0,0.0
0.0307646,0.0556193,-0.00064666,0.00862664,0.334159,942.478,1,0.0,0.0,0.0
-0.0595586,0.061924,-0.000635811,0.00859993,0.334205,942.478,1,0.0,0.0,0.0
0.025454,0.06035,-0.000658423,0.00862473,0.334251,942.478,1,0.0,0.0,0.0
-0.0624857,0.0737982,-0.000613515,0.00862091,0.334299,942.478,1,0.0,0.0,0.0
0.0256505,0.0691848,-0.000684454,0.00866526,0.334348,942.478,1,0.0,0.0,0.0
-0.0661004,0.0636681,-0.000623853,0.00863856,0.334392,942.478,1,0.0,1.0,0.0
0.0237083,0.047966,-0.000666621,0.00866812,0.334437,942.478,1,0.0,1.0,0.0
-0.0639292,0.060361,-0.00058158,0.00868052,0.334482,942.478,1,0.0,1.0,0.0
0.0255023,0.0500184,-0.000630509,0.00873297,0.334521,942.478,1,0.0,1.0,0.0
-0.0163259,0.06612,-0.000637181,0.00881022,0.334573,942.478,1,0.0,1.0,0.0
-0.0198905,0.0642091,-0.000645725,0.00873631,0.33462,942.478,1,0.0,1.0,0.0
0.330316,0.066311,0.000115662,0.00872963,0.334664,942.478,1,0.0,1.0,0.0
0.638336,0.00620591,0.00221622,0.00873679,0.334692,942.478,1,0.0,1.0,0.0
0.996696,0.00261226,0.00488098,0.00887793,0.334695,942.478,1,1.0,1.0,0.0
1.38078,-0.00508526,0.00715582,0.0090205,0.334687,942.478,1,1.0,1.0,0.0
1.64361,0.00339435,0.0087145,0.00915306,0.334678,942.478,1,1.0,1.0,0.0
1.98493,0.00282406,0.00942605,0.00923699,0.334667,942.478,1,1.0,1.0,0.0
2.40301,0.000832869,0.00931195,0.00941056,0.334654,942.478,1,1.0,1.0,0.0
2.6729,-0.00149329,0.00841729,0.00960511,0.334638,942.478,1,1.0,1.0,0.0
3.03109,0.0977862,0.00693191,0.00965422,0.334649,942.478,1,1.0,1.0,0.0
3.29248,0.283,0.00372808,0.00903338,0.334773,942.478,1,1.0,1.0,0.0
3.64998,0.513957,-0.000864622,0.00754278,0.335049,942.478,1,1.0,1.0,0.0
3.92566,0.629938,-0.00596449,0.00545328,0.335467,942.478,1,1.0,1.0,0.0
4.25604,0.701002,-0.00991747,0.00298518,0.335952,942.478,1,1.0,1.0,0.0
4.54137,0.749552,-0.0133433,0.000339206,0.336484,942.478,1,1.0,1.0,0.0
4.8865,0.812328,-0.0166036,-0.00254184,0.337069,942.478,1,1.0,1.0,0.0
5.21597,0.861189,-0.0827035,-0.00557357,0.337701,942.478,1,1.0,1.0,0.0
5.52098,0.909036,-0.0265062,-0.00870878,0.338392,942.478,1,1.0,1.0,0.0
5.83231,0.973043,-0.00568178,-0.0120896,0.339138,942.478,1,1.0,1.0,0.0
6.13164,1.03841,0.00886987,-0.0156339,0.339945,942.478,1,1.0,1.0,0.0
6.45249,1.08552,0.0181369,-0.0193952,0.340812,942.478,1,1.0,1.0,0.0
6.81031,1.14624,0.0233055,-0.0233038,0.341743,942.478,1,1.0,1.0,0.0
7.10694,1.18434,0.0258727,-0.0274304,0.342734,942.478,1,1.0,1.0,0.0
7.40816,1.24791,0.0263539,-0.0317047,0.343796,1013.13,1,1.0,1.0,0.0
7.78999,1.31926,0.0249862,-0.0366619,0.345046,1059.14,1,1.0,1.0,0.0
8.01611,1.35308,0.0220627,-0.0413521,0.346265,1119.62,1,0.0,1.0,0.0
8.4448,1.42877,0.0172651,-0.0462845,0.347562,1057.44,1,0.0,1.0,0.0
8.73342,1.45925,0.010749,-0.0513499,0.34894,974.455,1,0.0,1.0,0.0
9.07094,1.53487,0.00302185,-0.0566638,0.350407,1136.17,1,0.0,1.0,0.0
9.4252,1.58956,-0.00475356,-0.0621508,0.351961,1150.23,1,0.0,1.0,0.0
9.65822,1.62154,-0.0118048,-0.0677679,0.353607,1368.16,1,0.0,1.0,0.0
10.0697,1.4157,-0.0160009,-0.0730179,0.355268,1253.74,1,0.0,1.0,0.0
10.4972,0.972141,-0.0156845,-0.0764292,0.356714,1301.26,1,0.0,1.0,0.0
10.9127,0.43863,-0.0123122,-0.0776456,0.357835,1348.73,1,0.0,1.0,0.0
11.3305,0.105574,-0.00753714,-0.0770763,0.358637,1399.22,1,0.0,1.0,0.0
11.6939,0.0243594,-0.0039826,-0.0761941,0.359328,1448.09,1,0.0,1.0,0.0
12.0226,0.00776876,0.000610219,-0.0752123,0.360002,1484.91,1,0.0,1.0,0.0
12.3889,0.00488427,0.00835828,-0.0742496,0.360684,1540.84,1,0.0,1.0,0.0
12.8301,0.00584567,0.0189199,-0.0731662,0.361378,1567.68,1,0.0,1.0,0.0
13.2399,0.00539867,0.0309057,-0.0720995,0.362083,1608.19,1,0.0,1.0,0.0
13.596,0.00311698,0.0415977,-0.0710204,0.362797,1657.94,1,0.0,1.0,0.0
13.9842,0.00389856,0.0468309,-0.0699137,0.363521,1701.11,1,0.0,1.0,0.0
14.3875,0.00350622,0.0468441,-0.0687283,0.364253,1733.07,1,0.0,1.0,0.0
14.7737,0.0056473,0.0398579,-0.0675061,0.364992,1816.02,1,0.0,1.0,0.0
15.1729,0.00478913,0.0251868,-0.0662797,0.365738,1855.89,1,0.0,1.0,0.0
15.5811,0.00317239,0.00610407,-0.0649899,0.366489,1915.02,1,0.0,1.0,0.0
15.9936,0.00434779,-0.0117219,-0.0637291,0.367243,1946.81,1,0.0,1.0,0.0
16.3967,0.00481014,-0.0216192,-0.0624011,0.368004,2010.39,1,0.0,1.0,0.0
16.8115,0.00347686,-0.0150566,-0.0610607,0.368767,2043.0,1,0.0,1.0,0.0
17.2308,0.00351925,0.00873135,-0.0596316,0.369531,2102.36,1,0.0,1.0,0.0
17.665,0.00568842,0.0414152,-0.0581868,0.370298,2130.77,1,0.0,1.0,0.0
18.0873,0.00633491,0.0703184,-0.0566843,0.371063,2192.77,1,0.0,1.0,0.0
18.506,0.00523501,0.0816752,-0.0551913,0.371825,2236.17,1,0.0,1.0,0.0
18.959,0.00385782,0.0744649,-0.0536454,0.372586,2292.82,1,0.0,1.0,0.0
19.4429,0.00507487,0.0119747,-0.052079,0.373341,2345.83,1,1.0,1.0,0.0
19.9308,0.00406521,0.0278357,-0.0504573,0.374092,2420.59,1,1.0,1.0,0.0
20.4193,0.00395235,0.030857,-0.0488127,0.374835,2442.42,1,1.0,1.0,0.0
20.8846,0.00469151,0.0207112,-0.0471008,0.375573,2537.92,1,1.0,1.0,0.0
21.3685,0.00500408,0.00257181,-0.045369,0.3763,2597.12,1,1.0,1.0,0.0
21.8723,0.0054051,-0.0128487,-0.0435599,0.377017,2637.46,1,1.0,1.0,0.0
22.3863,0.424645,-0.00575216,-0.0429094,0.377862,2691.8,1,0.0,1.0,0.0
22.8037,1.15157,0.0125791,-0.0456775,0.379202,2833.79,1,0.0,1.0,0.0
23.1542,1.86828,0.0153345,-0.0522888,0.381172,2953.87,1,0.0,1.0,0.0
23.528,2.47739,0.00451906,-0.0624417,0.383785,3058.7,1,0.0,1.0,0.0
23.9761,2.97711,0.0163778,-0.0751727,0.387021,3123.52,1,0.0,1.0,0.0
24.4881,3.34499,0.0541091,-0.0892332,0.390837,3141.95,1,0.0,1.0,0.0
25.1765,3.18151,0.0734578,-0.10265,0.395046,3122.08,1,0.0,1.0,0.0
25.9141,2.47985,0.0644099,-0.111821,0.399147,3151.65,1,0.0,1.0,0.0
26.5799,1.66366,0.03357,-0.116704,0.40286,3258.42,1,0.0,1.0,0.0
27.2106,0.940705,-0.0315957,-0.118179,0.40612,3402.12,1,0.0,1.0,0.0
27.8665,0.431142,-0.0904924,-0.117138,0.408987,3522.87,1,0.0,1.0,0.0
28.5574,0.197333,-0.0797354,-0.114705,0.411618,3561.3,1,0.0,1.0,0.0
29.2659,0.0940528,0.0137336,-0.111923,0.414143,3539.17,1,0.0,1.0,0.0
29.9257,0.0395905,0.106649,-0.109296,0.416609,3702.18,1,0.0,1.0,0.0
30.6799,0.0205392,0.0326132,-0.106532,0.419293,3906.22,1,0.0,1.0,0.0
31.5209,0.0103996,0.0570761,-0.1038,0.421971,3840.16,1,0.0,1.0,0.0
32.2797,-0.00397777,0.0363037,-0.101225,0.424636,4133.55,1,0.0,1.0,0.0
33.0419,-0.0246024,0.021076,-0.0985869,0.427279,4610.73,1,0.0,1.0,0.0
33.9294,0.00500721,0.0333544,-0.0953,0.429914,4937.62,1,0.0,1.0,0.0
35.0018,0.0321834,0.059338,-0.0917052,0.432558,4563.11,1,0.0,1.0,0.0
35.9583,0.021944,0.0552397,-0.0885089,0.435186,4437.17,1,0.0,1.0,0.0
36.7909,0.00334802,0.0544806,-0.0854877,0.437774,4771.63,1,0.0,1.0,0.0
37.637,0.00504603,0.0748151,-0.0820654,0.440315,5233.72,1,0.0,1.0,0.0
38.5948,0.0183161,0.0718231,-0.0784095,0.442818,5482.07,1,0.0,1.0,0.0
39.6482,0.00928314,0.0405172,-0.0749896,0.445275,5445.59,1,0.0,1.0,0.0
40.6866,-0.00033532,0.0436519,-0.0714768,0.447677,5449.57,1,0.0,1.0,0.0
