track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r,commandedGear
dirt-2,pw-evoviwrc,-23.1721,-13.5998,0.440302,-2.71499,-1.43551,1151.92,1,361.569,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-12.6247,-12.1054,-12.5697,-12.6135,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,31.505,200.0,200.0,200.0,200.0,200.0,200.0,73.5501,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.14606597851160502,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-22.2792,-13.286,0.489514,-2.69979,-1.43128,1151.92,1,361.691,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-12.1934,-11.8977,-12.6248,-12.1851,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,31.244,200.0,200.0,200.0,200.0,200.0,200.0,73.9751,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.14876267958602477,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-21.3846,-13.0252,0.516521,-2.68512,-1.42728,1151.92,1,361.809,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-11.7939,-11.5351,-11.9699,-11.3521,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,30.9836,200.0,200.0,200.0,200.0,200.0,200.0,74.4054,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.15132454560672354,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-20.4913,-12.7869,0.525923,-2.67075,-1.42342,1151.92,1,361.923,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.879,-10.5913,-11.6222,-10.8097,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,30.7248,200.0,200.0,200.0,200.0,200.0,200.0,74.8426,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.15375831832638737,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-19.6009,-12.5492,0.524063,-2.65658,-1.4197,1151.92,1,362.033,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.4874,-10.0085,-10.5374,-10.0326,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,30.4639,200.0,200.0,200.0,200.0,200.0,200.0,75.288,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.156070402410068,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-18.7148,-12.3088,0.510667,-2.64257,-1.41608,1151.92,1,362.14,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-9.59787,-9.13383,-9.81742,-9.66023,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,30.2025,200.0,200.0,200.0,200.0,200.0,200.0,75.7416,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.15826688228956462,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-17.85,-12.0526,0.478158,-2.62868,-1.41256,1151.92,1,362.242,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.58835,-8.30045,-9.36111,-8.72973,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,29.9442,200.0,200.0,200.0,200.0,200.0,76.203,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.16035353817508638,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-16.923,-11.8145,0.491612,-2.61481,-1.40912,1151.92,1,362.34,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.02289,-7.61591,-9.20157,-8.72486,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,29.687,200.0,200.0,200.0,200.0,200.0,76.6723,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.16233586126633207,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-15.9928,-11.5897,0.496485,-2.60073,-1.40569,1151.92,1,362.434,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.3568,-7.00935,-8.71831,-8.22019,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,29.4285,200.0,200.0,200.0,200.0,200.0,200.0,77.149,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.16421906820301546,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-13.5577,-13.2929,0.491295,-2.58593,-1.4018,1151.92,1,362.524,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.65027,-6.37226,-8.0379,-7.52611,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,29.1705,200.0,200.0,200.0,200.0,200.0,200.0,77.6312,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.1660081147928647,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-12.8251,-12.7011,0.474789,-2.56871,-1.397,1151.92,1,362.608,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.30591,-5.1052,-6.29705,-5.77227,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,28.9085,200.0,200.0,200.0,200.0,200.0,200.0,78.1176,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.16770770905322147,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
